_id,DATE,ETHNICITY,COVID_TEST,COVID_COUNT,COVID_DEATHS
386,2020-07-03T00:00:00,Not Hispanic or Latino,1505,153,6
387,2020-07-03T00:00:00,Unknown,3600,306,5
388,2020-07-04T00:00:00,Hispanic or Latino,32,74,0
389,2020-07-04T00:00:00,Not Hispanic or Latino,807,261,4
390,2020-07-04T00:00:00,Unknown,1246,252,3
391,2020-07-05T00:00:00,Hispanic or Latino,30,18,0
392,2020-07-05T00:00:00,Not Hispanic or Latino,667,124,3
393,2020-07-05T00:00:00,Unknown,2003,171,9
394,2020-07-06T00:00:00,Hispanic or Latino,450,32,0
395,2020-07-06T00:00:00,Not Hispanic or Latino,5089,116,8
396,2020-07-06T00:00:00,Unknown,5711,151,8
397,2020-07-07T00:00:00,Hispanic or Latino,412,60,1
398,2020-07-07T00:00:00,Not Hispanic or Latino,4132,138,5
399,2020-07-07T00:00:00,Unknown,5268,247,3
400,2020-07-08T00:00:00,Hispanic or Latino,393,44,1
401,2020-07-08T00:00:00,Not Hispanic or Latino,3592,199,6
402,2020-07-08T00:00:00,Unknown,4931,256,1
403,2020-07-09T00:00:00,Hispanic or Latino,266,53,1
404,2020-07-09T00:00:00,Not Hispanic or Latino,3653,316,6
405,2020-07-09T00:00:00,Unknown,5140,350,4
406,2020-07-10T00:00:00,Hispanic or Latino,404,92,0
407,2020-07-10T00:00:00,Not Hispanic or Latino,4506,299,3
408,2020-07-10T00:00:00,Unknown,5483,365,4
409,2020-07-11T00:00:00,Hispanic or Latino,175,72,1
410,2020-07-11T00:00:00,Not Hispanic or Latino,1813,178,2
411,2020-07-11T00:00:00,Unknown,2830,295,8
412,2020-07-12T00:00:00,Hispanic or Latino,116,27,0
413,2020-07-12T00:00:00,Not Hispanic or Latino,1082,196,5
414,2020-07-12T00:00:00,Unknown,2368,222,7
415,2020-07-13T00:00:00,Hispanic or Latino,526,77,0
416,2020-07-13T00:00:00,Not Hispanic or Latino,5682,262,8
417,2020-07-13T00:00:00,Unknown,6209,305,1
418,2020-07-14T00:00:00,Hispanic or Latino,435,71,0
419,2020-07-14T00:00:00,Not Hispanic or Latino,5316,259,2
420,2020-07-14T00:00:00,Unknown,5947,348,4
421,2020-07-15T00:00:00,Hispanic or Latino,470,69,0
422,2020-07-15T00:00:00,Not Hispanic or Latino,5245,294,6
423,2020-07-15T00:00:00,Unknown,5554,357,5
424,2020-07-16T00:00:00,Hispanic or Latino,784,77,0
425,2020-07-16T00:00:00,Not Hispanic or Latino,5742,306,3
426,2020-07-16T00:00:00,Unknown,6241,354,7
427,2020-07-17T00:00:00,Hispanic or Latino,572,90,1
428,2020-07-17T00:00:00,Not Hispanic or Latino,6299,394,2
429,2020-07-17T00:00:00,Unknown,6332,350,6
430,2020-07-18T00:00:00,Hispanic or Latino,224,111,0
431,2020-07-18T00:00:00,Not Hispanic or Latino,2123,422,2
432,2020-07-18T00:00:00,Unknown,3395,377,7
433,2020-07-19T00:00:00,Hispanic or Latino,64,54,1
434,2020-07-19T00:00:00,Not Hispanic or Latino,868,276,6
435,2020-07-19T00:00:00,Unknown,2193,308,3
436,2020-07-20T00:00:00,Hispanic or Latino,377,62,0
437,2020-07-20T00:00:00,Not Hispanic or Latino,6045,314,8
438,2020-07-20T00:00:00,Unknown,6619,337,6
439,2020-07-21T00:00:00,Hispanic or Latino,514,79,0
440,2020-07-21T00:00:00,Not Hispanic or Latino,6277,262,6
441,2020-07-21T00:00:00,Unknown,5891,397,3
